x;y;z
0,3483993;-0,5808282;-0,7146214
0,3210547;-0,6096377;-0,7358623
0,3210547;-0,6096377;-0,7358623
0,3210547;-0,6096377;-0,7358623
0,3210547;-0,6096377;-0,7358623
0,3210547;-0,6096377;-0,7358623
0,3210547;-0,6096377;-0,7358623
0,3210547;-0,6096377;-0,7358623
0,3210547;-0,6096377;-0,7358623
0,3210547;-0,6096377;-0,7358623
0,3210547;-0,6096377;-0,7358623
0,3210547;-0,6096377;-0,7358623
0,3210547;-0,6096377;-0,7358623
0,3210547;-0,6096377;-0,7358623
0,3210547;-0,6096377;-0,7358623
0,4694968;-0,8799097;-0,3364361
0,4694968;-0,8799097;-0,3364361
0,4694968;-0,8799097;-0,3364361
0,4694968;-0,8799097;-0,3364361
0,4694968;-0,8799097;-0,3364361
0,4694968;-0,8799097;-0,3364361
0,4694968;-0,8799097;-0,3364361
0,4694968;-0,8799097;-0,3364361
0,4694968;-0,8799097;-0,3364361
0,4694968;-0,8799097;-0,3364361
0,4694968;-0,8799097;-0,3364361
0,4694968;-0,8799097;-0,3364361
0,4694968;-0,8799097;-0,3364361
0,4694968;-0,8799097;-0,3364361
0,4773095;-0,8894315;-0,2920011
0,4773095;-0,8894315;-0,2920011
0,4773095;-0,8894315;-0,2920011
0,4773095;-0,8894315;-0,2920011
0,4773095;-0,8894315;-0,2920011
0,4773095;-0,8894315;-0,2920011
